paper_id,priority,category,citation_short,year,dataset,task,model_or_method,transfer_learning_used,explainability_used,metrics_reported,key_findings,strengths,limitations,relevance_to_capstone,status,notes
P11,high,chest_xray_classification,"Baltruschat et al., Multi-Label Chest X-Ray Classification",2019,"ChestX-ray14","Multi-label chest X-ray classification","ResNet-50 variants with and without transfer learning; class activation maps",yes,yes,"ROC/AUC, rank correlation","Systematically compared scratch training, transfer learning, fine-tuning, and architecture variants on ChestX-ray14.","Very close to the thesis because it explicitly compares transfer learning and architecture choices on the same dataset family.","Focuses on multi-label prediction and ResNet-centered comparisons rather than a simpler binary task.","Direct benchmark comparison and one of the most relevant prior studies.",key_paper,"Use in Sections 2.1, 2.2, and 2.3."
P12,high,transfer_learning,"Pan and Yang, Survey on Transfer Learning",2010,"General machine learning","Survey","Transfer learning theory",mixed,no,"Conceptual taxonomy rather than benchmark metrics","Defined major transfer learning settings and established the conceptual vocabulary used across later studies.","Foundational theory source for discussing transfer learning clearly and correctly.","Not medical imaging specific and predates deep CNN-based transfer learning practice.","Provides theoretical foundation for Section 2.3.",key_paper,"Use to define transfer learning before medical examples."
P13,high,chest_xray_classification,"Yao et al., Learning to Diagnose from Scratch",2017,"ChestXray14","Multi-label chest X-ray classification","CNN plus label-dependency modeling",no,no,"AUC","Showed that competitive chest X-ray classification can be achieved without relying on pretrained weights by modeling label dependencies.","Important counterpoint to transfer learning; supports why scratch training should still be tested.","Focused on multi-label dependency modeling rather than the thesis binary setup.","Useful for framing the scratch-vs-transfer comparison as an open empirical question.",key_paper,"Use in Section 2.3 as a scratch-training reference."
P14,medium,transfer_learning,"Hashmi et al., Efficient Pneumonia Detection Using Deep Transfer Learning",2020,"Chest X-ray pneumonia dataset","Binary pneumonia detection","Transfer learning CNN",yes,no,"Accuracy, precision, recall, F1-score, AUC","Reported effective pneumonia detection using transfer learning and a practical deep learning workflow.","Good practical example of transfer learning in a binary chest X-ray setting.","Dataset and label setting differ from NIH ChestXray14 normal-vs-abnormal classification.","Supports the applied side of transfer learning in Section 2.3.",to_read,"Use as an applied binary-classification reference."
P15,medium,chest_xray_classification,"Li et al., Thoracic Disease Identification and Localization With Limited Supervision",2018,"ChestXray14","Disease identification and localization","Unified diagnosis network with limited location supervision",no,yes,"Classification and localization performance","Showed that limited location annotations can improve both classification and localization in a unified model.","Relevant for discussing the broader chest X-ray literature beyond pure classification.","More complex than the current capstone scope and depends on localization supervision.","Good context for explaining what is intentionally excluded from the thesis scope.",to_read,"Use in Section 2.1 when contrasting classification with localization work."
P16,high,survey,"Calli et al., Deep Learning for Chest X-ray Analysis: A Survey",2021,"Multiple chest X-ray datasets","Survey","Chest X-ray deep learning survey",mixed,mixed,"Survey synthesis across tasks and datasets","Provided a comprehensive survey of chest X-ray tasks, datasets, model families, and open challenges.","Directly useful for building Chapter 2 because it synthesizes exactly the literature family the thesis belongs to.","Survey paper, so it does not itself provide a controlled experimental result for the thesis task.","Excellent overview source and one of the most useful papers for Chapter 2.",key_paper,"Use across Sections 2.1 to 2.5."
P17,medium,survey,"Meedeniya et al., Chest X-ray Analysis Empowered with Deep Learning: A Systematic Review",2022,"Multiple chest X-ray datasets","Systematic review","Deep learning review",mixed,mixed,"Systematic review of trends, datasets, and challenges","Reviewed recent chest X-ray studies, especially pneumonia and COVID-19 detection, and summarized trends and challenges.","Useful as a systematic review to support claims about common methods and recurring challenges.","Leans strongly toward pneumonia and COVID-19 literature, so it is broader than the thesis focus.","Supports Section 2.1 and helps justify current research trends.",to_read,"Use as secondary survey support."
P18,medium,explainability,"Chaddad et al., Survey of Explainable AI Techniques in Healthcare",2023,"Healthcare overview","Survey","XAI in healthcare",mixed,mixed,"Survey synthesis rather than benchmark metrics","Surveyed explanation approaches in healthcare and emphasized the importance of trust, transparency, and careful interpretation.","Good high-level support for why explainability matters in healthcare AI.","Not specific to chest radiography and does not validate Grad-CAM specifically on the thesis task.","Supports Section 2.4 and later Discussion chapter.",to_read,"Use for healthcare-level motivation of explainability."
P19,medium,explainability,"Bhati et al., XAI Techniques for Visualizing Deep Learning Models in Medical Imaging",2024,"Medical imaging overview","Survey","Visualization-based XAI in medical imaging",mixed,mixed,"Survey synthesis rather than benchmark metrics","Focused on explainability techniques for visualizing deep learning behavior in medical imaging tasks.","Useful for framing Grad-CAM within a broader family of medical imaging XAI methods.","Recent survey; more methodological overview than task-specific evidence.","Supports Section 2.4 when comparing Grad-CAM with other visualization methods.",to_read,"Use as a recent XAI survey source."
P20,medium,chest_xray_classification,"Tiu et al., Expert-level Detection via Self-Supervised Learning",2022,"Large chest X-ray datasets","Pathology detection","Self-supervised learning for chest X-rays",yes,no,"AUC and expert-level comparison","Showed that self-supervised pretraining can produce strong chest X-ray performance with reduced reliance on manual labels.","Important modern benchmark showing that representation learning matters in chest X-ray analysis.","More advanced than the current capstone scope and centered on self-supervision rather than standard transfer learning.","Useful as future-work and advanced benchmark context.",to_read,"Use briefly in Section 2.1 or Discussion as forward-looking context."
